date,value,valueInflation,groceries,groceriesInflation,dinner,dinnerInflation,lunch,lunchInflation,breakfast,breakfastInflation,snack,snackInflation,coffee,coffeeInflation,comment,memory
Jan-14,363.75,387.39,,,,,,,,,,,,,,
Feb-14,386.07,411.16,,,,,,,,,,,,,,
Mar-14,642.78,684.56,,,,,,,,,,,,,,
Apr-14,343.92,366.27,,,,,,,,,,,,,,
May-14,339.51,361.58,,,,,,,,,,,,,,
Jun-14,455.94,485.58,,,,,,,,,,,,,,
Jul-14,257.89,274.65,,,,,,,,,,,,,,
Aug-14,474.02,504.83,,,,,,,,,,,,,,
Sep-14,357.66,380.91,,,,,,,,,,,,,,
Oct-14,312.69,333.01,,,,,,,,,,,,,,
Nov-14,398.96,424.89,,,,,,,,,,,,,,
Dec-14,277.37,295.4,,,,,,,,,,,,,,
Jan-15,472.85,502.64,,,,,,,,,,,,,,
Feb-15,430.01,457.1,,,,,,,,,,,,,,
Mar-15,441.91,469.75,,,,,,,,,,,,,,
Apr-15,341.07,362.56,,,,,,,,,,,,,,
May-15,274.47,291.76,,,,,,,,,,,,,,
Jun-15,283.1,300.94,,,,,,,,,,,,,,
Jul-15,399.24,424.39,,,,,,,,,,,,,,
Aug-15,272.42,289.58,,,,,,,,,,,,,,
Sep-15,420.4,446.89,,,,,,,,,,,,,,
Oct-15,232.63,247.29,,,,,,,,,,,,,,
Nov-15,452.02,480.5,,,,,,,,,,,,,,
Dec-15,231.2,242.76,,,,,,,,,,,,,,
Jan-16,324.96,341.21,,,,,,,,,,,,,,
Feb-16,373.09,391.74,,,,,,,,,,,,,,
Mar-16,479.4,503.37,,,,,,,,,,,,,,
Apr-16,394.92,414.67,,,,,,,,,,,,,,
May-16,325.68,341.96,,,,,,,,,,,,,,
Jun-16,265.63,278.91,,,,,,,,,,,,,,
Jul-16,400.01,420.01,,,,,,,,,,,,,,
Aug-16,228.5,239.93,,,,,,,,,,,,,,
Sep-16,314.93,330.68,,,,,,,,,,,,,,
Oct-16,372.65,391.28,,,,,,,,,,,,,,
Nov-16,334.39,351.11,,,,,,,,,,,,,,
Dec-16,318.2,334.11,,,,,,,,,,,,,,
Jan-17,250,257,,,,,,,,,,,,,,
Feb-17,336.89,346.32,,,,,,,,,,,,,,
Mar-17,744.77,765.62,,,,,,,,,,,,,,
Apr-17,386.05,396.86,,,,,,,,,,,,,,
May-17,390.31,401.24,,,,,,,,,,,,,,
Jun-17,313.84,322.63,,,,,,,,,,,,,,
Jul-17,527.17,541.93,,,,,,,,,,,,,,
Aug-17,195.41,200.88,,,,,,,,,,,,,,
Sep-17,249.58,256.57,,,,,,,,,,,,,,
Oct-17,355.63,365.59,,,,,,,,,,,,,,
Nov-17,289.63,297.74,,,,,,,,,,,,,,
Dec-17,335.31,344.7,,,,,,,,,,,,,,
Jan-18,318.22,318.22,,,,,,,,,,,,,,
Feb-18,487.85,487.85,,,,,,,,,,,,,,
Mar-18,498.74,498.74,350.38,,102.57,,,,,,,,,,,
Apr-18,259.53,259.53,,,,,,,,,,,,,,
May-18,403.63,403.63,256.66,,103.53,,,,,,,,,,,
Jun-18,624.24,624.24,501.92,,63.05,,,,,,,,,,,
Jul-18,414.61,414.61,248.58,,65,,,,,,,,,,,
Aug-18,545.21,545.21,,,,,,,,,,,,,,
Sep-18,280.05,280.05,,,,,,,,,,,,,,
Oct-18,376.2,376.2,,,,,,,,,,,,,,
Nov-18,299.62,299.62,,,,,,,,,,,,,,
Dec-18,290.23,290.23,145.3,,113.52,,,,,,,,,,,
